Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
AAA Reinforcing LLC,Manufacturing and Fabrication Srvcs.,"Metal Fabrication (General),Other Metal Working,Related Labor Services",aaareinforcingllc.com,USA,New York,Hudson,6587 W Atlantic Avenue,,12534,Amber,Stevenson,aaareinforcingllc@yahoo.com,"AAA Reinforcing LLC was formed in 2005. We are a Union Reinforcing Steel Contractor. AAA does work from Rockland County north to the Canadian Border and as far west as Syracuse NY. AAA has successfully completed projects in these areas over the span of 15 years in business. We have been associated with some of the most notable in the state, some examples are: Global Foundries, Johnson City Water Treatment Facility, Vassar Brothers Hospital, and Port of Albany WHARF, to name a few. AAA has placed rebar in Schools, Water Treatment Facilities, High Rises, Bridges on the NYS Thruway and Major Roadways.",Yes,POINT (-73.75546 42.28451)
AAA Reinforcing LLC,Specialist Services,"Other Fabrication,Other Specialist Services",aaareinforcingllc.com,USA,New York,Hudson,6587 W Atlantic Avenue,,12534,Amber,Stevenson,aaareinforcingllc@yahoo.com,"AAA Reinforcing LLC was formed in 2005. We are a Union Reinforcing Steel Contractor. AAA does work from Rockland County north to the Canadian Border and as far west as Syracuse NY. AAA has successfully completed projects in these areas over the span of 15 years in business. We have been associated with some of the most notable in the state, some examples are: Global Foundries, Johnson City Water Treatment Facility, Vassar Brothers Hospital, and Port of Albany WHARF, to name a few. AAA has placed rebar in Schools, Water Treatment Facilities, High Rises, Bridges on the NYS Thruway and Major Roadways.",Yes,POINT (-73.75546 42.28451)
AAR Aircraft Component Services,Other Organizations,"Onshore repair and overhaul of wind turbine components including: hydraulic, pneumatic, electrical generators, and other sub-assemblies that require maintenance.",aarcorp.com,USA,New York,Garden City,747 Zeckendorf Boulevard,,11530,Larry,Montreuil,Larry.Montreuil@aarcorp.com,"AAR Aircraft Component Services is an FAA certified component repair agency specializing in the repair, overhaul and testing of hydraulic, pneumatic, power generating, electronic and fuel components used in commercial and military aircraft applications.  The technology, test equipment, skills and experience highly transferable to the maintenance of similar components in wind power generation.  The company has been operating at our New York site for over 40 years. It is wholly owned by AAR Corporation based in Wood Dale, Il., USA.",No,POINT (-73.60274 40.74113)
ABB INC,Consulting Services,Full-scope Project EPCI,www.abb.com,USA,North Carolina,Raleigh,901 Main Campus Drive,,27606,Thom,Nevinger,thomas.nevinger@us.abb.com,"Our Power Grids business is a global leader in power technologies and aspires to be the partner of choice for enabling a stronger, smarter and greener grid. The Power Grids business provides product, system, software and service solutions across the power value chain that are designed to meet the growing demand for electricity with minimum environmental impact. These solutions support utility, industry and transport & infrastructure customers to plan, build, operate and maintain their power infrastructure. They are designed to facilitate the safe, reliable and efficient integration, transmission and distribution of bulk and distributed energy generated from conventional and renewable sources.",No,POINT (-78.67715 35.77313)
ABB INC,Manufactured Products,"Back-up Power and UPS,Battery Energy Storage Systems,Electro-mechanical Products,Electronics Products,Monitoring Equipment,Offshore Substation Full-Scope EPC,Other Manufactured Products,SCADA and Control Systems,Switchgear,Transformers",www.abb.com,USA,North Carolina,Raleigh,901 Main Campus Drive,,27606,Thom,Nevinger,thomas.nevinger@us.abb.com,"Our Power Grids business is a global leader in power technologies and aspires to be the partner of choice for enabling a stronger, smarter and greener grid. The Power Grids business provides product, system, software and service solutions across the power value chain that are designed to meet the growing demand for electricity with minimum environmental impact. These solutions support utility, industry and transport & infrastructure customers to plan, build, operate and maintain their power infrastructure. They are designed to facilitate the safe, reliable and efficient integration, transmission and distribution of bulk and distributed energy generated from conventional and renewable sources.",No,POINT (-78.67715 35.77313)
ABB INC,Manufacturing and Fabrication Srvcs.,Supply Chain Management,www.abb.com,USA,North Carolina,Raleigh,901 Main Campus Drive,,27606,Thom,Nevinger,thomas.nevinger@us.abb.com,"Our Power Grids business is a global leader in power technologies and aspires to be the partner of choice for enabling a stronger, smarter and greener grid. The Power Grids business provides product, system, software and service solutions across the power value chain that are designed to meet the growing demand for electricity with minimum environmental impact. These solutions support utility, industry and transport & infrastructure customers to plan, build, operate and maintain their power infrastructure. They are designed to facilitate the safe, reliable and efficient integration, transmission and distribution of bulk and distributed energy generated from conventional and renewable sources.",No,POINT (-78.67715 35.77313)
ABB INC,Offshore Const./Ops. and Vessels,Full-scope Offshore EPC,www.abb.com,USA,North Carolina,Raleigh,901 Main Campus Drive,,27606,Thom,Nevinger,thomas.nevinger@us.abb.com,"Our Power Grids business is a global leader in power technologies and aspires to be the partner of choice for enabling a stronger, smarter and greener grid. The Power Grids business provides product, system, software and service solutions across the power value chain that are designed to meet the growing demand for electricity with minimum environmental impact. These solutions support utility, industry and transport & infrastructure customers to plan, build, operate and maintain their power infrastructure. They are designed to facilitate the safe, reliable and efficient integration, transmission and distribution of bulk and distributed energy generated from conventional and renewable sources.",No,POINT (-78.67715 35.77313)
ABB INC,Onshore Construction Services,Full-scope Onshore Wind EPC,www.abb.com,USA,North Carolina,Raleigh,901 Main Campus Drive,,27606,Thom,Nevinger,thomas.nevinger@us.abb.com,"Our Power Grids business is a global leader in power technologies and aspires to be the partner of choice for enabling a stronger, smarter and greener grid. The Power Grids business provides product, system, software and service solutions across the power value chain that are designed to meet the growing demand for electricity with minimum environmental impact. These solutions support utility, industry and transport & infrastructure customers to plan, build, operate and maintain their power infrastructure. They are designed to facilitate the safe, reliable and efficient integration, transmission and distribution of bulk and distributed energy generated from conventional and renewable sources.",No,POINT (-78.67715 35.77313)
ABB INC,Specialist Services,Full-scope Project EPCI,www.abb.com,USA,North Carolina,Raleigh,901 Main Campus Drive,,27606,Thom,Nevinger,thomas.nevinger@us.abb.com,"Our Power Grids business is a global leader in power technologies and aspires to be the partner of choice for enabling a stronger, smarter and greener grid. The Power Grids business provides product, system, software and service solutions across the power value chain that are designed to meet the growing demand for electricity with minimum environmental impact. These solutions support utility, industry and transport & infrastructure customers to plan, build, operate and maintain their power infrastructure. They are designed to facilitate the safe, reliable and efficient integration, transmission and distribution of bulk and distributed energy generated from conventional and renewable sources.",No,POINT (-78.67715 35.77313)
ABB Ltd,Consulting Services,"Engineering (Electrical),Feasibility Studies,Grid Connection,Other Renewable Energy Consulting,Wind Resource and Layout",www.abb.com,Taiwan,Taipei,Taipei,"10F, No.18, Jihu Rd., Neihu Dist., Taipei City 11492, Taiwan, R.O.C.",,11492,Steve,Hsu,steve.hsu@tw.abb.com,"ABB is a pioneering technology leader with a comprehensive offering for digital industries. With a history of innovation spanning more than 130 years, ABB is today a leader in digital industries with four customer-focused, globally leading businesses: Electrification, Industrial Automation, Motion, and Robotics & Discrete Automation, supported by its common ABB Ability™ digital platform. ABB's market leading Power Grids business will be divested to Hitachi in 2020. ABB operates in more than 100 countries with about 147,000 employees.",No,
ABB Ltd,Manufactured Products,"Battery Energy Storage Systems,Offshore Substation Full-Scope EPC,Offshore Substation Topsides,Onshore Substation Full-Scope EPC,SCADA and Control Systems,Switchgear,Transformers",www.abb.com,Taiwan,Taipei,Taipei,"10F, No.18, Jihu Rd., Neihu Dist., Taipei City 11492, Taiwan, R.O.C.",,11492,Steve,Hsu,steve.hsu@tw.abb.com,"ABB is a pioneering technology leader with a comprehensive offering for digital industries. With a history of innovation spanning more than 130 years, ABB is today a leader in digital industries with four customer-focused, globally leading businesses: Electrification, Industrial Automation, Motion, and Robotics & Discrete Automation, supported by its common ABB Ability™ digital platform. ABB's market leading Power Grids business will be divested to Hitachi in 2020. ABB operates in more than 100 countries with about 147,000 employees.",No,
ABN AMRO,Other Organizations,Investment Bank,www.abnamro.com,USA,New York,Brooklyn,270 Eckford Street,,11222,Emine,Topal,,"ABN AMRO serves retail, private and corporate banking clients with a primary focus on the Netherlands and with selective operations internationally. In the Netherlands, clients are offered a comprehensive and full range of products and services through omni-channel distribution including advanced mobile application and internet banking. Internationally, we are active in areas in which we have substantial expertise. ABN AMRO offers companies active in the energy transition business the opportunity to attract risk-bearing capital through a new initiative, the 'Energy Transition Fund'.",,POINT (-73.95139 40.7284)
AC Associates,Consulting Services,"Logistics Planning & Management,Project Management",www.acassoc.net,USA,New Jersey,Clifton,55 Clifton Blvd,,7011,James,Samela,jsamela@acassoc.net,"A.C. Associates is an agent for Tru Weld Products as well as a Project Management team specializing in metal decking projects. We offer assistance with material procurement, specification and drawing analysis, detailing review and value engineering as they relate to metal deck and shear studs.

We have a rental machine fleet of Stud Welders, both truck mounted and trailer mounted, diesel and electric machines, complete with all accessories.

We have our local warehouse stocked with the most commonly used shear stud sizes and appropriate ferrules. We can usually get them ready for pickup at our facility or have them delivered to you within a day or two.

As distributors for Tru Weld Stud Welding Equipment and Supplies, we provide a full line of studs in mild steel and stainless steel; in fully threaded, partially threaded, shear, headed, and other styles for both Drawn Arc and Capacitor Discharge machines. We also stock stud welding equipment and accessories that work with Tru Weld studs as well as our competitor brands. We service the New York & New Jersey area as well as New England.",No,POINT (-74.14527 40.86288)
AC Associates,Manufacturing and Fabrication Srvcs.,"Metal Fabrication (General),Other Metal Working,Shipbuilding and Outfitting,Welding",www.acassoc.net,USA,New Jersey,Clifton,55 Clifton Blvd,,7011,James,Samela,jsamela@acassoc.net,"A.C. Associates is an agent for Tru Weld Products as well as a Project Management team specializing in metal decking projects. We offer assistance with material procurement, specification and drawing analysis, detailing review and value engineering as they relate to metal deck and shear studs.

We have a rental machine fleet of Stud Welders, both truck mounted and trailer mounted, diesel and electric machines, complete with all accessories.

We have our local warehouse stocked with the most commonly used shear stud sizes and appropriate ferrules. We can usually get them ready for pickup at our facility or have them delivered to you within a day or two.

As distributors for Tru Weld Stud Welding Equipment and Supplies, we provide a full line of studs in mild steel and stainless steel; in fully threaded, partially threaded, shear, headed, and other styles for both Drawn Arc and Capacitor Discharge machines. We also stock stud welding equipment and accessories that work with Tru Weld studs as well as our competitor brands. We service the New York & New Jersey area as well as New England.",No,POINT (-74.14527 40.86288)
Academy Energy Group,Consulting Services,"Consultancy Company Partnership,Other Renewable Energy Consulting,Project Management,Risk Assessment,Strategic Advisory",Academy Energy Group,USA,New York,NY,"315 west 36th street, New Energy",,11545,Robert,Frank,Bobby.Frank@academyenergygroup.com,"Academy Energy Group (AEG) in business for 10 years, is a Design-Build Assist Consultative Electrical Distributor and Services Provider. Using a
team collaborative approach, AEG provides assistance to the Owner, the Contractors, and the Design Team. We use the
Project Management Instituteâ€™s methodologies to support projects from the concept and design phase through the execution
and close-out phase.
AEG provides consultative services such as: Pre-Construction Services, In-house Lighting Design, In-house Solar PV
Design, Design Development Support, Application Engineering Support, Energy Assessments, Product Selection, and
Product Supply for: Lighting/Lighting Controls, Power Distribution, Metering & Automation, Controls, Microgrids,
Renewable Energy & Solar PV.
Our primary markets include Utilities, Industrials, targeted Corporations, the Energy Service Companies (ESCOs),
Engineering, Procurement and Construction firms (EPC), Design Build firms, General Contractors, Electrical Contractors,
and Federal/State Governments direct.",,POINT (-73.99348 40.75388)
Academy Energy Group,Manufactured Products,"Anchoring Systems,Back-up Power and UPS,Battery Energy Storage Systems,Cable Protection Systems,Electro-mechanical Products,Fibre Optic Cables,Generators,Internal Cabling,Lighting,Low-voltage Electrical Components,Metal or GRP Enclosures,Offshore Substation Topsides,Onshore Substation Full-Scope EPC,Power Cables and Fittings,SCADA and Control Systems,Sensor Systems,Switchgear,Transformers",Academy Energy Group,USA,New York,NY,"315 west 36th street, New Energy",,11545,Robert,Frank,Bobby.Frank@academyenergygroup.com,"Academy Energy Group (AEG) in business for 10 years, is a Design-Build Assist Consultative Electrical Distributor and Services Provider. Using a
team collaborative approach, AEG provides assistance to the Owner, the Contractors, and the Design Team. We use the
Project Management Instituteâ€™s methodologies to support projects from the concept and design phase through the execution
and close-out phase.
AEG provides consultative services such as: Pre-Construction Services, In-house Lighting Design, In-house Solar PV
Design, Design Development Support, Application Engineering Support, Energy Assessments, Product Selection, and
Product Supply for: Lighting/Lighting Controls, Power Distribution, Metering & Automation, Controls, Microgrids,
Renewable Energy & Solar PV.
Our primary markets include Utilities, Industrials, targeted Corporations, the Energy Service Companies (ESCOs),
Engineering, Procurement and Construction firms (EPC), Design Build firms, General Contractors, Electrical Contractors,
and Federal/State Governments direct.",,POINT (-73.99348 40.75388)
Academy Energy Group,Manufacturing and Fabrication Srvcs.,"Electricals,Manufacturer's Supply Chain",Academy Energy Group,USA,New York,NY,"315 west 36th street, New Energy",,11545,Robert,Frank,Bobby.Frank@academyenergygroup.com,"Academy Energy Group (AEG) in business for 10 years, is a Design-Build Assist Consultative Electrical Distributor and Services Provider. Using a
team collaborative approach, AEG provides assistance to the Owner, the Contractors, and the Design Team. We use the
Project Management Instituteâ€™s methodologies to support projects from the concept and design phase through the execution
and close-out phase.
AEG provides consultative services such as: Pre-Construction Services, In-house Lighting Design, In-house Solar PV
Design, Design Development Support, Application Engineering Support, Energy Assessments, Product Selection, and
Product Supply for: Lighting/Lighting Controls, Power Distribution, Metering & Automation, Controls, Microgrids,
Renewable Energy & Solar PV.
Our primary markets include Utilities, Industrials, targeted Corporations, the Energy Service Companies (ESCOs),
Engineering, Procurement and Construction firms (EPC), Design Build firms, General Contractors, Electrical Contractors,
and Federal/State Governments direct.",,POINT (-73.99348 40.75388)
Academy Energy Group,Onshore Construction Services,"Cable Pull-in,Onshore Substation EPC,Other Renewable Plant EPC",Academy Energy Group,USA,New York,NY,"315 west 36th street, New Energy",,11545,Robert,Frank,Bobby.Frank@academyenergygroup.com,"Academy Energy Group (AEG) in business for 10 years, is a Design-Build Assist Consultative Electrical Distributor and Services Provider. Using a
team collaborative approach, AEG provides assistance to the Owner, the Contractors, and the Design Team. We use the
Project Management Instituteâ€™s methodologies to support projects from the concept and design phase through the execution
and close-out phase.
AEG provides consultative services such as: Pre-Construction Services, In-house Lighting Design, In-house Solar PV
Design, Design Development Support, Application Engineering Support, Energy Assessments, Product Selection, and
Product Supply for: Lighting/Lighting Controls, Power Distribution, Metering & Automation, Controls, Microgrids,
Renewable Energy & Solar PV.
Our primary markets include Utilities, Industrials, targeted Corporations, the Energy Service Companies (ESCOs),
Engineering, Procurement and Construction firms (EPC), Design Build firms, General Contractors, Electrical Contractors,
and Federal/State Governments direct.",,POINT (-73.99348 40.75388)
"Accurate Specialty Metal Fabricators, Inc.",Consulting Services,"Engineering (Mechanical),Other Consulting",www.asmfnyc.com,USA,New York,Ridgewood,64-20 Admiral Ave.,,11379,Alfred,Webb,alwebb@asmfnyc.com,"We have been providing a wide variety of Architectural and Mechanical Specialties since 1989 to the greater NYC tri-state area. Our focus for Architectural specialties includes panels, column enclosures, artwork, and other Architectural specialties. Our focus for Mechanical specialties includes radiator enclosures, sound attenuation, and UL and AMCA rated products.",No,POINT (-73.89726 40.71208)
"Accurate Specialty Metal Fabricators, Inc.",Labor Organizations,"Labor Union (Factory Workers),Labor Union (Metalworking)",www.asmfnyc.com,USA,New York,Ridgewood,64-20 Admiral Ave.,,11379,Alfred,Webb,alwebb@asmfnyc.com,"We have been providing a wide variety of Architectural and Mechanical Specialties since 1989 to the greater NYC tri-state area. Our focus for Architectural specialties includes panels, column enclosures, artwork, and other Architectural specialties. Our focus for Mechanical specialties includes radiator enclosures, sound attenuation, and UL and AMCA rated products.",No,POINT (-73.89726 40.71208)
"Accurate Specialty Metal Fabricators, Inc.",Manufactured Products,"Doors and Hatches,Louvres Systems and Facades,Metal or GRP Enclosures,Other Manufactured Products,Railings and Barriers,Sheet Metal,Steel Structures",www.asmfnyc.com,USA,New York,Ridgewood,64-20 Admiral Ave.,,11379,Alfred,Webb,alwebb@asmfnyc.com,"We have been providing a wide variety of Architectural and Mechanical Specialties since 1989 to the greater NYC tri-state area. Our focus for Architectural specialties includes panels, column enclosures, artwork, and other Architectural specialties. Our focus for Mechanical specialties includes radiator enclosures, sound attenuation, and UL and AMCA rated products.",No,POINT (-73.89726 40.71208)
"Accurate Specialty Metal Fabricators, Inc.",Manufacturing and Fabrication Srvcs.,"Galvanizing,Manufacturer's Supply Chain,Metal Fabrication (General),Other Metal Working,Plating,Precision Manufacturing,Product Design,Rolling,Sheet Metal Working,Welding",www.asmfnyc.com,USA,New York,Ridgewood,64-20 Admiral Ave.,,11379,Alfred,Webb,alwebb@asmfnyc.com,"We have been providing a wide variety of Architectural and Mechanical Specialties since 1989 to the greater NYC tri-state area. Our focus for Architectural specialties includes panels, column enclosures, artwork, and other Architectural specialties. Our focus for Mechanical specialties includes radiator enclosures, sound attenuation, and UL and AMCA rated products.",No,POINT (-73.89726 40.71208)
"Accurate Specialty Metal Fabricators, Inc.",Offshore Const./Ops. and Vessels,Not Provided,www.asmfnyc.com,USA,New York,Ridgewood,64-20 Admiral Ave.,,11379,Alfred,Webb,alwebb@asmfnyc.com,"We have been providing a wide variety of Architectural and Mechanical Specialties since 1989 to the greater NYC tri-state area. Our focus for Architectural specialties includes panels, column enclosures, artwork, and other Architectural specialties. Our focus for Mechanical specialties includes radiator enclosures, sound attenuation, and UL and AMCA rated products.",No,POINT (-73.89726 40.71208)
"Accurate Specialty Metal Fabricators, Inc.",Onshore Construction Services,"Manufacturing Plant Construction,Mechanical Completion",www.asmfnyc.com,USA,New York,Ridgewood,64-20 Admiral Ave.,,11379,Alfred,Webb,alwebb@asmfnyc.com,"We have been providing a wide variety of Architectural and Mechanical Specialties since 1989 to the greater NYC tri-state area. Our focus for Architectural specialties includes panels, column enclosures, artwork, and other Architectural specialties. Our focus for Mechanical specialties includes radiator enclosures, sound attenuation, and UL and AMCA rated products.",No,POINT (-73.89726 40.71208)
"Accurate Specialty Metal Fabricators, Inc.",Specialist Services,"Offshore Wind-related Fabrication,Other Consulting,Other Fabrication",www.asmfnyc.com,USA,New York,Ridgewood,64-20 Admiral Ave.,,11379,Alfred,Webb,alwebb@asmfnyc.com,"We have been providing a wide variety of Architectural and Mechanical Specialties since 1989 to the greater NYC tri-state area. Our focus for Architectural specialties includes panels, column enclosures, artwork, and other Architectural specialties. Our focus for Mechanical specialties includes radiator enclosures, sound attenuation, and UL and AMCA rated products.",No,POINT (-73.89726 40.71208)
ACME Industrial Inc.,Labor Organizations,"Labor Union (Metalworking),Labor Union (Operating Engineers)",www.acmeindustrialinc.com,USA,New York,Staten Island,326-328 Front St,,10304,Joe,Martucci,info@acmerepair.com,"Full service Marine and Industrial Repair facility with machine shop, machinists, mechanics, welders, fitters, electricians and HVAC technicians.",No,POINT (-74.07448 40.62886)
ACME Industrial Inc.,Manufacturing and Fabrication Srvcs.,"Composites Manufacturing,Electricals,Heat Treatment,Machining,Metal Fabrication (General),Other Metal Working,Precision Manufacturing,Sheet Metal Working,Shipbuilding and Outfitting,Welding",www.acmeindustrialinc.com,USA,New York,Staten Island,326-328 Front St,,10304,Joe,Martucci,info@acmerepair.com,"Full service Marine and Industrial Repair facility with machine shop, machinists, mechanics, welders, fitters, electricians and HVAC technicians.",No,POINT (-74.07448 40.62886)
ACME Industrial Inc.,Specialist Services,"Project Management Services,Turbine Commissioning Services,Turbine Installation Services",www.acmeindustrialinc.com,USA,New York,Staten Island,326-328 Front St,,10304,Joe,Martucci,info@acmerepair.com,"Full service Marine and Industrial Repair facility with machine shop, machinists, mechanics, welders, fitters, electricians and HVAC technicians.",No,POINT (-74.07448 40.62886)
Aconex North America Inc,Specialist Services,Information & IT Services,www.aconex.com,USA,New York,New York,350 5th Avenue,"""Empire State Building, #7250""",10118,Casey,Simpson,,Aconex provides the #1 cloud solution to manage information and processes for the world's largest construction and engineering projects. Aconex gives owners and contractors project-wide visibility and control between the many different organizations collaborating across their projects.,,POINT (-73.9848 40.74811)
Acro Industries Inc.,Manufacturing and Fabrication Srvcs.,Product Design,www.acroind.com/index.html,USA,New York,Rochester,554 Colfax Street,,14606,Bill,Kettle,,"Acro Industries, Inc. offers expertise in full service Contract Manufacturing, Product Design, Engineering, Supply Chain Management, System/Module Assemblies, Production Stamping, and Laser & Short Run Fabrication.",,POINT (-77.66888 43.17592)
ACTA Maritime Development Corp.,Consulting Services,"Business Advisory,O&M Consulting Services,Project Management,Stakeholder Engagement,Strategic Advisory",ACTA Maritime Development Corp.,USA,4380,Staten Island,220 Mountainview Ave.,,10314,John,Ole Arntzen,jarntzen@actamaritime.com,"ACTA Maritime provides strategic advisory services to US businesses seeking to enter the US Offshore Wind support industry and to subject matter expert foreign OSW companies looking to partner with local service providers.  A key element of all collaborative efforts is training a workforce, from local underserved communities, that will become the backbone of the US Offshore Energy industry.",,POINT (-74.12599 40.60644)
"Aditazz, Inc.",Other Organizations,Not Provided,www.aditazz.com,USA,California,San Bruno,1194 Cherry Avenue,,94066,Deepak,Aatresh,deepak.aatresh@aditazz.com,"Aditazz is a provider of Engineering Design, Construction and Operations Optimization Software Platform",,POINT (-122.42868 37.63325)
Advan-Tech Manufacturing Inc.,Manufacturing and Fabrication Srvcs.,Precision Manufacturing; Machining,www.advan-tech.us/,USA,New York,Orchard Park,3645 California Road,,14127,,,,"Advan-Tech is a precision metal machinist company specializes in meeting aerospace requirements through AS 9100 and ISO 9001 registration and high performance in the following product areas: Prototype/low volume production quantities for aerospace applications, Small precision parts, Microscopic deburring, Aerospace materials and High-quality finishes.",,POINT (-78.78442 42.78547)
"Advanced Contracting Concepts, Inc.",Consulting Services,"Construction Support,Project Management",www.advancedcontractingny.com,USA,New York,Patterson,PO Box 424,,12563,Leigh,Scirbona,acci@advancedcontractingny.com,"We provide Human Resource Subcontracting services exclusively to the construction industry.  We work collaboratively with our clients to determine their staffing needs and custom recruit to fill these positions.  This staff remains our employee working in the client's project offices, integrating with their team. Our management brings over forty years of experience in the construction industry to this process which provides us with a unique perspective to deliver the right candidate to the project team resulting in high-quality employees with low turnover at a competitive price point!",Yes,
"Advanced Contracting Concepts, Inc.",Other Organizations,Staff Augmentation Services,www.advancedcontractingny.com,USA,New York,Patterson,PO Box 424,,12563,Leigh,Scirbona,acci@advancedcontractingny.com,"We provide Human Resource Subcontracting services exclusively to the construction industry.  We work collaboratively with our clients to determine their staffing needs and custom recruit to fill these positions.  This staff remains our employee working in the client's project offices, integrating with their team. Our management brings over forty years of experience in the construction industry to this process which provides us with a unique perspective to deliver the right candidate to the project team resulting in high-quality employees with low turnover at a competitive price point!",Yes,
"Advanced Contracting Concepts, Inc.",Specialist Services,"Offshore Wind Worker Supply,Other Specialist Services",www.advancedcontractingny.com,USA,New York,Patterson,PO Box 424,,12563,Leigh,Scirbona,acci@advancedcontractingny.com,"We provide Human Resource Subcontracting services exclusively to the construction industry.  We work collaboratively with our clients to determine their staffing needs and custom recruit to fill these positions.  This staff remains our employee working in the client's project offices, integrating with their team. Our management brings over forty years of experience in the construction industry to this process which provides us with a unique perspective to deliver the right candidate to the project team resulting in high-quality employees with low turnover at a competitive price point!",Yes,
